Song Name,Musicians,Duration,Song Link
Coming Back to Life,Pink Floyd,6:20,https://music.youtube.com/watch?v=2sHZ4ny_SxU
Somebody That I Used To Know (feat. Kimbra),Gotye,4:05,https://music.youtube.com/watch?v=xOazTYPrt64
Atom Heart Mother,Pink Floyd,23:42,https://music.youtube.com/watch?v=gLhYOdTSQHA
Empty Spaces,Pink Floyd,2:08,https://music.youtube.com/watch?v=TYcVBd-gRlo
What If,Creed,5:19,https://music.youtube.com/watch?v=qEnan3ovPkQ
Brother Up In Heaven,Alan Parsons,4:03,https://music.youtube.com/watch?v=uLZO-y-tLFA
Round n' Round,"Clarx, Shiah Maisel",2:59,https://music.youtube.com/watch?v=661c_MmDDuU
Pink Floyd - Coming Back To Life (PULSE Restored & Re-Edited),PINK FLOYD,6:54,https://music.youtube.com/watch?v=WAUiHImStdI
Like a Stone,Audioslave,4:54,https://music.youtube.com/watch?v=Wo7qhT7lBXw
As Lights Fall,Alan Parsons,3:59,https://music.youtube.com/watch?v=atYZuPlqJC8
Astronomy Domine (Live),Pink Floyd,4:22,https://music.youtube.com/watch?v=ax3HDaQmT04
What Do You Want from Me (Live),Pink Floyd,4:11,https://music.youtube.com/watch?v=64Syct9V7AM
A Great Day for Freedom (Live),Pink Floyd,4:33,https://music.youtube.com/watch?v=tckiPyCKZaQ
November Rain,Guns N' Roses,8:57,https://music.youtube.com/watch?v=y6lfK3bH4z8
While My Guitar Gently Weeps (Live),"Paul McCartney, Eric Clapton",5:58,https://music.youtube.com/watch?v=I3CDJmYx6yg
Paint It Black,The Rolling Stones,3:23,https://music.youtube.com/watch?v=170sceOWWXc
All I Have to Do Is Dream,The Everly Brothers,2:41,https://music.youtube.com/watch?v=56cKlT62wrQ
Fat Old Sun,Pink Floyd,5:24,https://music.youtube.com/watch?v=A6-_w-hj7S4
On the Turning Away,Pink Floyd,5:42,https://music.youtube.com/watch?v=EWWqnYLo-XM
